case_id,patient_tld_gain,component_id,score,added_reference_voxels,airway_core_voxels,core_fraction,length_proxy_mm,elongation,mean_reference_radius_mm,centre_i,centre_j,centre_k
126,0.022104466313398907,190,119.28655709386832,44,0,0.0,7.349836107080943,2.641334658746725,0.6437979228512701,182.97727272727275,323.8636363636364,290.0
087,0.04262052959172902,6,117.84966627195048,40,0,0.0,8.680339900256314,4.950343529254922,0.6020950344994622,119.2,299.925,289.55
126,0.022104466313398907,1112,117.52429758765571,39,0,0.0,9.080841895773741,4.458941194084212,0.5975430590443063,346.7692307692308,219.69230769230768,369.1538461538462
125,0.023978545511910365,205,114.01265952638236,42,0,0.0,7.368983294942622,3.940933079588104,0.7276785714285714,202.52380952380952,312.1428571428571,542.4047619047619
126,0.022104466313398907,890,113.57761518650888,37,0,0.0,9.422844902450471,4.599135607606975,0.5952280405405406,315.8918918918919,266.05405405405406,612.4054054054054
151,0.03314012096774199,37,113.41741647368306,38,0,0.0,8.908248171443818,4.562689858036968,0.5337171052631579,147.81578947368422,258.6842105263158,382.10526315789474
151,0.03314012096774199,725,112.3448001227514,39,0,0.0,8.298063191729756,3.5666515922915294,0.6350095102913839,313.2307692307692,299.94871794871796,606.948717948718
034,0.020825721592985014,747,110.90955528106711,34,0,0.0,10.640942433083117,1.7118724312930544,0.5661764705882353,289.5882352941177,322.02941176470586,484.4117647058824
087,0.04262052959172902,700,108.76101075046307,38,0,0.0,8.191798794641512,3.9244192750015032,0.6370737205257497,343.10526315789474,310.3157894736842,588.1842105263158
151,0.03314012096774199,82,108.36839722562024,35,0,0.0,9.586701646734545,6.126351598761004,0.7070992973766809,164.0857142857143,349.54285714285714,188.0
126,0.022104466313398907,157,103.10557083106546,40,0,0.0,6.644224210249912,2.606983878695171,0.6716733350340993,179.325,321.4,267.6
151,0.03314012096774199,864,102.7365033915154,43,0,0.0,5.708377030348758,2.6069680345976582,0.7234738372093024,329.7906976744186,276.27906976744185,278.1162790697674
151,0.03314012096774199,102,99.51831869370372,34,0,0.0,8.567383871644966,2.5232584691454663,0.5471047794117647,168.47058823529412,187.7058823529412,304.0
151,0.03314012096774199,998,96.05968506652096,44,0,0.0,4.766251598697929,1.6645382433085256,0.6397083410640877,371.77272727272725,278.6363636363636,393.1818181818182
087,0.04262052959172902,689,95.9638879998955,31,0,0.0,9.582796878310601,7.1966492094934855,0.5591548832251125,338.1290322580645,362.5483870967742,336.3225806451613
081,0.03050397877984079,464,94.29292430837334,26,0,0.0,13.152597003882578,8.34469734375841,0.5216346153846154,426.9230769230769,220.15384615384616,271.1923076923077
087,0.04262052959172902,740,93.96041301336393,33,0,0.0,8.107033254032993,4.52922933653917,0.7008001254525899,344.6363636363636,359.78787878787875,266.72727272727275
